,,,Q01,,,,Q02,,,Q03,,,Q04,,,,Q05,,,Q04,,,Q07,,,,Q08,,Q09,Q10,,,
,,,[1]=,[2]=,[3]=,[4]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]象限=,[2]象限=,[3]象限=,[4]象限=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=,[4]=,[1]xは,[2]sin(x)は,違い,点の数,[1]周期,振幅=,[2]周期,振幅=,[3]周期,振幅=,[4]周期,振幅=
1,01KA,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,02NI,0509,2,2,2,0,0,0,0,0,0,2,2,2,2,2,1,1,2,0,0,0,0,2,0,2,2,2,,2,2,2,2,36
3,03VL,0509,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,57
4,04TO,0509,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,0,,1,0,1,1,39
5,05RO,0509,2,2,2,2,2,2,2,,,,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,2,,,,,,38
6,06AK,0509,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,,2,2,2,2,56
7,07YK,0509,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,,2,2,2,2,54
8,08MT,0509,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,,1,2,2,2,49
9,09HN,0509,0,0,0,0,0,2,2,0,2,2,2,2,0,2,2,2,2,0,0,0,0,2,0,2,0,2,,1,2,1,1,31
10,10HH,0509,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,3
11,11KH,NotYet,,,,,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,2,1,0,0,2,0,,2,2,2,2,25
12,12YM,0509,2,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,,2,2,2,1,49
13,13TY,0509,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,0,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
