,,,Q01,,Q02,Q03,,,Q04,,,,Q05,,Q06,,Q07,,,,Q08,,,
,,,[1]y'=,[2]y'=,[]y'=lim(z,x,!fr(z^(tfr(1,3))-x^(tfr(1,3)),z-x))=,[1],[2],[3],[1],[2],[3],[4],[1],[2],[1],[2],[1],[2],[3],[4],[1],[2],[4],[4]
1,01KA,0704,0,0,,0,0,0,,,,,2,2,2,2,2,2,0,2,2,2,0,0,18
2,02NI,0704,2,2,,0,2,0,,,,,2,2,2,0,2,0,2,2,2,0,0,0,20
3,03VL,0704,2,0,4,0,2,2,,,,,2,2,2,2,2,2,2,2,2,2,0,0,30
4,04TO,0704,0,0,,2,2,2,,,,,2,2,2,2,2,2,2,2,2,2,0,0,26
5,05RO,0704,2,2,4,0,2,2,,,,,,,2,2,2,2,2,2,2,2,0,2,30
6,06AK,0704,2,0,0,0,2,2,,,,,2,2,2,2,1,2,2,2,2,1,0,2,26
7,07YK,0704,2,2,4,2,2,2,,,,,2,2,0,2,2,0,1,2,2,2,0,1,30
8,08MT,0704,2,0,0,0,2,2,,,,,2,2,0,2,2,2,2,2,2,2,0,2,26
9,09HN,0704,2,0,,2,2,0,,,,,2,2,2,2,2,2,2,2,2,2,0,0,26
10,10HH,0704,2,0,,,,,,,,,2,2,2,2,0,1,2,2,2,2,0,2,21
11,11KH,0704,0,2,,2,2,2,,,,,2,2,2,0,1,0,0,2,2,2,0,2,23
12,12YM,NotYet,,,0,2,2,2,,,,,2,2,2,2,1,1,0,0,2,2,0,0,20
13,13TY,0704,0,0,,,,,,,,,,,,,,,,,,,,,0
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,0
