,,,Q01,,,,Q02,,,,Q03,,,,Q04,,,,Q05,,,,Q06,,,,Q07,,,,Q08,,,
,,,[1],[2],[3],[4],[1]a,b,[2]a,b,[3]a,b,[4]a,b,[1],[2],[3],[4],[1],[2],[3],[4],[1]x,[2]x,[3]x,[4]x,[1],[2],[3],[4],[1],[2],[3],[4],[1]x,[2]x,[3]x,[4]x
1,01KA,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,02NI,0418,0,0,0,0,2,0,0,0,1,1,2,2,2,2,1,0,2,0,2,1,2,2,0,2,2,2,2,2,1,0,2,2,37
3,03VL,0418,0,0,0,0,2,2,2,2,,,,,,,,,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,38
4,04TO,0418,2,2,2,2,2,1,0,21,2,2,1,1,2,2,0,2,1,1,2,2,2,2,2,2,2,2,2,0,0,2,2,2,70
5,05RO,0418,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60
6,06AK,0418,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,57
7,07YK,0418,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,60
8,08MT,0418,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,57
9,09HN,0418,0,2,2,0,2,2,0,0,2,1,1,0,2,2,1,2,,,,,2,2,2,2,2,2,2,2,1,2,2,2,42
10,10HH,NotYet,,,,,,,,,0,0,0,0,2,2,0,2,2,1,1,1,0,0,2,2,2,2,2,2,,,,,23
11,11KH,0418,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,58
12,12YM,0418,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,1,2,2,2,2,1,0,2,2,1,2,1,2,1,2,2,43
13,13TY,0418,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,8
14,14KK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,15YK,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,16YT,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
