,,,Q01,,,,Q02,,,,Q1,,,,Q2,,,,Q1,,,,Q2,,,,Q3,,,,Q1,,Q2,,,
,,,[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[3],[4],[1],[2],[1],[2],[3],[4]
1,2211101,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,,,6
2,2211102,0411,2,0,0,0,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,,,52
3,2211103,0411,2,1,2,2,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,,,49
4,2211104,0411,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,62
5,2211105,0411,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,61
6,2211106,0411,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,,,62
7,2211107,0411,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,,,60
8,2211108,0411,0,0,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,,,50
9,2211109,0411,0,2,0,0,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,,,52
10,2211110,0411,0,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,46
11,2211111,0411,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,62
12,2211112,0411,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,56
13,2211113,NotYet,,,,,,,,,,,,,,,,,0,2,2,0,2,2,2,2,0,0,0,0,,,,,,,12
14,2211114,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,2211115,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,2211116,NotYet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
